City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Saint-Junien,FR,45.8833,0.9,59.0,54,0,10.36,clear sky
322,Matara,LK,5.9485,80.5353,78.51,87,71,7.27,broken clouds
323,Rio Brilhante,BR,-21.8019,-54.5464,89.49,25,0,6.38,clear sky
324,Porbandar,IN,21.6422,69.6093,82.4,83,20,11.5,haze
325,Pizarro,CO,4.9533,-77.366,80.85,81,99,5.08,light rain
326,Yulara,AU,-25.2406,130.9889,53.6,54,0,6.91,clear sky
327,Paciran,ID,-6.8767,112.3761,77.43,77,18,3.29,few clouds
328,Zhuhai,CN,22.2769,113.5678,75.2,88,40,8.05,scattered clouds
329,Waipawa,NZ,-41.4122,175.5153,57.2,100,75,4.61,light rain
330,Providencia,MX,28.7167,-111.5833,84.0,31,8,5.99,clear sky
331,Hasaki,JP,35.7333,140.8333,50.0,87,20,3.44,few clouds
332,Murdochville,CA,48.9583,-65.5006,39.2,93,90,5.75,overcast clouds
333,Isangel,VU,-19.55,169.2667,77.5,86,97,11.7,overcast clouds
334,Kozulka,UA,50.0351,23.797,51.8,58,0,6.71,clear sky
335,Turan,VN,16.0678,108.2208,77.0,94,20,2.3,few clouds
336,Wanning,CN,18.8003,110.3967,77.34,86,88,8.9,overcast clouds
337,Grindavik,IS,63.8424,-22.4338,41.0,60,40,10.36,scattered clouds
338,Krasnyy Chikoy,RU,50.3643,108.7512,40.78,62,1,2.28,clear sky
339,Ayagoz,KZ,47.9714,80.4392,25.79,52,100,20.65,overcast clouds
340,Sobolevo,RU,54.4299,31.8996,40.84,93,100,10.11,light rain
341,Tsabong,BW,-26.0217,22.401,74.82,22,31,6.8,scattered clouds
342,Kuytun,RU,54.3419,101.5036,24.15,52,100,9.93,overcast clouds
343,Marzuq,YE,14.4,46.4667,74.08,57,41,7.63,scattered clouds
